stats_entry_id,player_id,game_date,vs_team,outcome,min,fgm_fga,fg_per,threem_threea,three_per,ftm_fta,ft_per,rebounds,assists,blocks,steals,fouls,turnovers,points
3263,122,Fri 1/24,@STONY BROOK,"L 67-64
",2,0-0,.000,0-0,.000,0-0,.000,1,0,0,1,0,0,0
3264,122,Sun 1/26,vsBINGHAMTON,"W 72-39
",7,1-1,1.0,0-0,.000,2-2,1.0,3,0,0,1,1,0,4
3267,122,Tue 2/4,vsMAINE,"W 93-65
",20,2-2,1.0,0-0,.000,0-0,.000,6,2,4,2,2,1,4
3268,122,Wed 2/12,vsUMASS LOWELL,"W 83-58
",14,3-3,1.0,0-0,.000,0-0,.000,6,0,0,3,1,0,6
3269,122,Sat 2/15,vsUMBC,"W 76-52
",12,1-2,.500,0-0,.000,0-0,.000,8,2,0,1,1,3,2
3271,123,Sat 11/9,vsSAINT JOSEPH'S,"L 74-64
",30,5-11,.455,2-7,.286,3-6,.500,1,1,0,0,4,1,15
3272,123,Tue 11/12,vsSIENA,"W 77-66
",17,2-4,.500,1-2,.500,0-0,.000,0,0,0,0,5,0,5
3273,123,Sat 11/16,@BRYANT,"L 87-64
",25,2-7,.286,2-4,.500,0-0,.000,2,1,0,0,2,1,6
3274,123,Mon 11/18,@PROVIDENCE,"L 70-49
",25,2-6,.333,2-5,.400,0-0,.000,0,0,1,0,2,2,6
3275,123,Thu 11/21,@WAGNER,"L 68-61
",37,4-11,.364,0-5,.000,2-2,1.0,2,1,0,0,3,1,10
3276,123,Sun 11/24,@#6 DUKE,"L 91-90
",25,2-5,.400,1-3,.333,2-4,.500,2,0,0,0,2,2,7
3277,123,Wed 11/27,vsILLINOIS STATE,"W 87-76
",26,2-5,.400,0-2,.000,0-0,.000,2,1,0,0,0,1,4
3278,123,Fri 11/29,@SAN FRANCISCO,"L 72-61
",29,2-8,.250,2-7,.286,0-0,.000,0,0,0,1,2,0,6
3279,123,Sat 11/30,vsSONOMA ST,"W 73-61
",22,6-9,.667,4-5,.800,1-2,.500,1,0,0,0,1,1,17
3280,123,Sun 12/15,vsQUINNIPIAC,"L 80-67
",16,1-3,.333,0-1,.000,0-0,.000,0,0,0,0,2,0,2
3281,123,Wed 12/18,@UMASS LOWELL,"W 62-48
",21,1-5,.200,0-1,.000,0-0,.000,4,0,0,0,1,0,2
3282,123,Sat 12/21,@HARVARD,"L 74-68
",27,4-9,.444,2-5,.400,2-4,.500,0,0,0,0,3,3,12
3283,123,Mon 12/30,vsLYNDON STATE COLLEGE,"W 88-48
",13,2-6,.333,1-4,.250,0-0,.000,1,1,0,2,1,2,5
